epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4793,1.46178,2.57024,1.56533,0.51182,0.12086,0.21195,0.10145,1.83074,3.4647,1.93117,0.000657895,0.000657895,0.000657895
2,41.0222,1.59023,2.14842,1.63248,0.37894,0.15205,0.15892,0.06039,2.2378,3.4087,2.35667,0.001318,0.001318,0.001318
3,60.3011,1.63048,1.90281,1.67204,0.37102,0.31774,0.26072,0.08432,2.23526,2.74995,2.35267,0.00197151,0.00197151,0.00197151
4,79.4465,1.64038,1.78868,1.65951,0.39993,0.25731,0.25558,0.09882,2.19378,3.74502,2.39227,0.0019703,0.0019703,0.0019703
5,98.5607,1.57809,1.59842,1.60645,0.45763,0.42599,0.37978,0.1474,2.07671,2.0921,1.92945,0.0019604,0.0019604,0.0019604
6,117.583,1.52265,1.49984,1.55841,0.51094,0.4152,0.44645,0.21455,1.87552,2.12733,1.8574,0.0019505,0.0019505,0.0019505
7,136.756,1.50251,1.45923,1.53813,0.4886,0.42464,0.41794,0.19028,1.97438,2.10577,1.92934,0.0019406,0.0019406,0.0019406
8,156.671,1.46878,1.3526,1.52943,0.56768,0.52827,0.54801,0.26764,1.84521,1.73401,1.80831,0.0019307,0.0019307,0.0019307
9,176.415,1.43336,1.33599,1.48024,0.54071,0.3603,0.41165,0.19349,1.94708,2.03517,1.93513,0.0019208,0.0019208,0.0019208
10,196.23,1.42505,1.30215,1.48514,0.46183,0.44496,0.45009,0.21344,1.89211,1.9297,1.79597,0.0019109,0.0019109,0.0019109
11,215.857,1.41174,1.30052,1.46643,0.58973,0.51852,0.5418,0.26141,1.79451,1.72299,1.81776,0.001901,0.001901,0.001901
12,235.414,1.32909,1.18625,1.41052,0.65404,0.46801,0.55381,0.28388,1.80321,1.67546,1.77561,0.0018911,0.0018911,0.0018911
13,255.004,1.34018,1.17683,1.40882,0.60476,0.47425,0.5214,0.26437,1.76063,1.68865,1.69774,0.0018812,0.0018812,0.0018812
14,275.846,1.30069,1.14089,1.39559,0.63489,0.5848,0.61807,0.30348,1.72472,1.48644,1.69246,0.0018713,0.0018713,0.0018713
15,297.025,1.36841,1.18731,1.42768,0.58026,0.5692,0.58092,0.29237,1.73201,1.61833,1.69728,0.0018614,0.0018614,0.0018614
16,318.12,1.35048,1.1728,1.42766,0.58353,0.5848,0.61437,0.30592,1.67041,1.67085,1.65045,0.0018515,0.0018515,0.0018515
17,339.342,1.32131,1.1349,1.40382,0.62603,0.59844,0.62934,0.33361,1.72352,1.44942,1.66067,0.0018416,0.0018416,0.0018416
18,360.586,1.30749,1.12374,1.40443,0.70341,0.52827,0.62387,0.31742,1.65771,1.63237,1.60975,0.0018317,0.0018317,0.0018317
19,381.545,1.29006,1.09503,1.38495,0.66162,0.53741,0.58589,0.3056,1.67957,1.52633,1.66587,0.0018218,0.0018218,0.0018218
20,402.516,1.27541,1.08504,1.36739,0.52214,0.57115,0.55196,0.27033,1.7599,1.69777,1.68298,0.0018119,0.0018119,0.0018119
21,423.523,1.27958,1.08996,1.366,0.6705,0.52437,0.57861,0.31346,1.68372,1.57678,1.65472,0.001802,0.001802,0.001802
22,444.692,1.2712,1.07272,1.36618,0.672,0.59906,0.64511,0.35602,1.60513,1.33015,1.59072,0.0017921,0.0017921,0.0017921
23,465.794,1.24486,1.04168,1.36589,0.63588,0.59649,0.62904,0.34047,1.68919,1.39539,1.6306,0.0017822,0.0017822,0.0017822
24,486.96,1.28396,1.05445,1.37938,0.65599,0.5575,0.6325,0.34024,1.6332,1.39237,1.59764,0.0017723,0.0017723,0.0017723
25,507.943,1.21341,1.01237,1.33779,0.64247,0.59064,0.63144,0.32286,1.66904,1.45493,1.59639,0.0017624,0.0017624,0.0017624
26,529.071,1.2474,1.04475,1.34433,0.6641,0.55111,0.618,0.33938,1.70981,1.55998,1.66131,0.0017525,0.0017525,0.0017525
27,550.198,1.18363,0.97465,1.31917,0.7554,0.596,0.68475,0.37169,1.64367,1.29691,1.58308,0.0017426,0.0017426,0.0017426
28,571.344,1.19522,0.97307,1.31678,0.69302,0.64522,0.68595,0.37162,1.63115,1.25458,1.55441,0.0017327,0.0017327,0.0017327
29,590.811,1.22933,1.00302,1.34807,0.62449,0.58674,0.62474,0.33065,1.69692,1.44484,1.62894,0.0017228,0.0017228,0.0017228
30,609.972,1.2311,0.98848,1.34168,0.67025,0.57055,0.63675,0.36207,1.59699,1.38238,1.58245,0.0017129,0.0017129,0.0017129
31,629.054,1.19928,0.97425,1.32288,0.64984,0.62586,0.65593,0.35434,1.6014,1.36116,1.54476,0.001703,0.001703,0.001703
32,648.21,1.18398,0.94713,1.29842,0.65862,0.63743,0.65559,0.36402,1.58859,1.32018,1.53626,0.0016931,0.0016931,0.0016931
33,667.277,1.17537,0.93968,1.30495,0.71127,0.64346,0.71309,0.37888,1.55576,1.37073,1.52281,0.0016832,0.0016832,0.0016832
34,686.394,1.18158,0.9613,1.30495,0.75514,0.63722,0.71624,0.4034,1.57049,1.18637,1.57602,0.0016733,0.0016733,0.0016733
35,705.553,1.17978,0.96028,1.3023,0.70046,0.63819,0.67151,0.3709,1.59822,1.30164,1.58574,0.0016634,0.0016634,0.0016634
36,724.641,1.156,0.90699,1.29601,0.68988,0.62573,0.694,0.37764,1.62638,1.3639,1.56131,0.0016535,0.0016535,0.0016535
37,743.847,1.17286,0.91641,1.29184,0.74026,0.62223,0.66785,0.375,1.59819,1.34927,1.59802,0.0016436,0.0016436,0.0016436
38,762.994,1.14316,0.87444,1.26999,0.7721,0.62077,0.712,0.39398,1.53455,1.31036,1.50693,0.0016337,0.0016337,0.0016337
39,782.024,1.14679,0.9034,1.28558,0.72833,0.63234,0.69605,0.38203,1.59522,1.30854,1.54508,0.0016238,0.0016238,0.0016238
40,801.104,1.18937,0.93236,1.28594,0.67992,0.62525,0.69033,0.38588,1.55183,1.30023,1.51872,0.0016139,0.0016139,0.0016139
41,820.379,1.17946,0.92864,1.28868,0.72069,0.64884,0.71561,0.39976,1.57921,1.20939,1.56901,0.001604,0.001604,0.001604
42,839.564,1.11235,0.88549,1.27494,0.7485,0.65887,0.73945,0.41874,1.54889,1.19929,1.50773,0.0015941,0.0015941,0.0015941
43,858.783,1.13799,0.88922,1.27418,0.79788,0.60429,0.72016,0.41249,1.54686,1.24548,1.52178,0.0015842,0.0015842,0.0015842
44,877.956,1.10549,0.8687,1.25779,0.7576,0.67446,0.72814,0.40501,1.5355,1.16215,1.50511,0.0015743,0.0015743,0.0015743
