epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,897.185,1.11531,0.87881,1.253,0.66413,0.63938,0.66567,0.36889,1.62908,1.27865,1.55733,0.0015644,0.0015644,0.0015644
46,916.296,1.16222,0.90284,1.27233,0.72058,0.64327,0.69704,0.38421,1.54332,1.24306,1.51622,0.0015545,0.0015545,0.0015545
47,935.387,1.12017,0.85495,1.25285,0.6905,0.61404,0.67991,0.38047,1.50087,1.32867,1.48284,0.0015446,0.0015446,0.0015446
48,954.493,1.10628,0.86106,1.25284,0.73561,0.63938,0.7118,0.39984,1.5186,1.20632,1.50565,0.0015347,0.0015347,0.0015347
49,973.615,1.12396,0.88651,1.2754,0.67627,0.60266,0.66172,0.32654,1.72984,1.37249,1.64063,0.0015248,0.0015248,0.0015248
50,992.719,1.11189,0.85527,1.25367,0.72899,0.63743,0.69494,0.39067,1.57728,1.24093,1.52807,0.0015149,0.0015149,0.0015149
51,1011.78,1.08804,0.83643,1.24363,0.65861,0.64717,0.68664,0.37828,1.58299,1.238,1.54816,0.001505,0.001505,0.001505
52,1030.96,1.10667,0.83114,1.24315,0.71221,0.62713,0.70635,0.39102,1.56563,1.23425,1.53955,0.0014951,0.0014951,0.0014951
53,1050.06,1.13037,0.84741,1.2693,0.71059,0.58285,0.65684,0.35576,1.62354,1.3887,1.60198,0.0014852,0.0014852,0.0014852
54,1069.14,1.12338,0.87582,1.25696,0.67402,0.64522,0.69158,0.36651,1.63302,1.22517,1.5506,0.0014753,0.0014753,0.0014753
55,1088.23,1.08976,0.82679,1.23422,0.79411,0.66162,0.73078,0.42225,1.51163,1.17647,1.47402,0.0014654,0.0014654,0.0014654
56,1107.37,1.07531,0.83562,1.23617,0.76932,0.61988,0.69461,0.38447,1.57192,1.23697,1.53992,0.0014555,0.0014555,0.0014555
57,1126.55,1.09874,0.83772,1.24413,0.69282,0.62768,0.70281,0.38594,1.56241,1.23227,1.50687,0.0014456,0.0014456,0.0014456
58,1145.67,1.10485,0.82907,1.22701,0.75097,0.67446,0.74182,0.40509,1.59918,1.1408,1.56512,0.0014357,0.0014357,0.0014357
59,1164.74,1.06912,0.80806,1.22696,0.79396,0.62378,0.73326,0.41011,1.53959,1.17913,1.49187,0.0014258,0.0014258,0.0014258
60,1183.73,1.07126,0.79298,1.22803,0.68509,0.64327,0.7049,0.40115,1.55702,1.1656,1.5589,0.0014159,0.0014159,0.0014159
61,1202.84,1.0605,0.79012,1.21949,0.75665,0.59399,0.67791,0.37276,1.62354,1.2418,1.54661,0.001406,0.001406,0.001406
62,1221.9,1.06363,0.8071,1.23676,0.74613,0.61404,0.69306,0.38372,1.56994,1.22799,1.52733,0.0013961,0.0013961,0.0013961
63,1241.03,1.06894,0.81772,1.2294,0.71857,0.66695,0.73391,0.40456,1.55689,1.22205,1.51817,0.0013862,0.0013862,0.0013862
64,1260.1,1.05847,0.79483,1.22148,0.7811,0.62573,0.72063,0.40824,1.52027,1.17551,1.49748,0.0013763,0.0013763,0.0013763
65,1279.15,1.06329,0.79117,1.21832,0.78909,0.61598,0.71816,0.41471,1.53094,1.20575,1.48812,0.0013664,0.0013664,0.0013664
66,1298.18,1.04318,0.77069,1.21655,0.69531,0.67836,0.73196,0.41815,1.53091,1.15352,1.4884,0.0013565,0.0013565,0.0013565
67,1317.21,1.0636,0.77936,1.21701,0.72087,0.68421,0.74216,0.42599,1.50371,1.08392,1.46975,0.0013466,0.0013466,0.0013466
68,1336.26,1.05535,0.78043,1.21501,0.70845,0.68683,0.71413,0.41178,1.49647,1.16585,1.47569,0.0013367,0.0013367,0.0013367
69,1355.51,1.03859,0.77452,1.20804,0.73307,0.69594,0.74644,0.41302,1.54095,1.1353,1.4674,0.0013268,0.0013268,0.0013268
70,1374.61,1.05748,0.79211,1.22354,0.74531,0.62749,0.71015,0.38442,1.5891,1.25206,1.55076,0.0013169,0.0013169,0.0013169
71,1393.71,1.06059,0.79143,1.21055,0.82902,0.5848,0.71711,0.39144,1.56475,1.23026,1.53846,0.001307,0.001307,0.001307
72,1412.63,1.04257,0.75985,1.21416,0.69366,0.69201,0.73753,0.42659,1.50118,1.13336,1.47399,0.0012971,0.0012971,0.0012971
73,1432.25,1.01892,0.73969,1.20159,0.7429,0.66862,0.72162,0.40734,1.52254,1.14203,1.46889,0.0012872,0.0012872,0.0012872
74,1453.06,1.02474,0.74089,1.19896,0.75367,0.66082,0.74728,0.42582,1.51455,1.07655,1.48798,0.0012773,0.0012773,0.0012773
75,1474.55,1.02312,0.73278,1.20377,0.72128,0.69006,0.74517,0.4219,1.54351,1.10947,1.50634,0.0012674,0.0012674,0.0012674
76,1496.28,1.03344,0.75237,1.19768,0.77347,0.64563,0.73642,0.41717,1.51646,1.09214,1.48624,0.0012575,0.0012575,0.0012575
77,1518.37,1.02838,0.74432,1.19813,0.73294,0.63664,0.72647,0.40028,1.57678,1.18666,1.50294,0.0012476,0.0012476,0.0012476
78,1541.22,1.02615,0.73904,1.19353,0.72117,0.71088,0.7535,0.4218,1.4835,1.11011,1.4691,0.0012377,0.0012377,0.0012377
79,1563.93,1.02945,0.73154,1.20022,0.77583,0.67251,0.7462,0.41318,1.55816,1.12852,1.49625,0.0012278,0.0012278,0.0012278
80,1586.77,1.00816,0.73179,1.19517,0.73095,0.64327,0.73492,0.42387,1.51874,1.12497,1.4854,0.0012179,0.0012179,0.0012179
81,1609.45,1.03362,0.73078,1.19751,0.76324,0.62211,0.72148,0.41783,1.56384,1.12804,1.49096,0.001208,0.001208,0.001208
82,1632.33,1.0081,0.73786,1.17937,0.78833,0.63548,0.74288,0.40839,1.57383,1.11294,1.53808,0.0011981,0.0011981,0.0011981
83,1654.95,1.00665,0.73031,1.19257,0.76564,0.61793,0.70855,0.39455,1.59049,1.2007,1.5132,0.0011882,0.0011882,0.0011882
84,1675.96,1.00499,0.72162,1.17535,0.74362,0.65692,0.72725,0.41725,1.5125,1.1088,1.46829,0.0011783,0.0011783,0.0011783
85,1695.8,1.02466,0.71337,1.1969,0.7385,0.67713,0.73449,0.40835,1.56117,1.12373,1.51628,0.0011684,0.0011684,0.0011684
86,1715.63,0.9962,0.70656,1.18507,0.73193,0.67057,0.73669,0.42086,1.53688,1.11678,1.48906,0.0011585,0.0011585,0.0011585
87,1735.52,1.01323,0.72585,1.1868,0.74069,0.6626,0.73092,0.4029,1.57527,1.11335,1.52155,0.0011486,0.0011486,0.0011486
88,1755.42,0.98646,0.68874,1.17059,0.70724,0.69006,0.73653,0.41371,1.53814,1.09867,1.48917,0.0011387,0.0011387,0.0011387
89,1775.22,1.02825,0.73595,1.1903,0.68491,0.63135,0.68842,0.38981,1.61199,1.19489,1.54591,0.0011288,0.0011288,0.0011288
90,1795.12,0.97965,0.69167,1.17548,0.72884,0.67641,0.71651,0.4037,1.59382,1.10027,1.58127,0.0011189,0.0011189,0.0011189
91,1814.85,0.9836,0.68327,1.17371,0.81805,0.62225,0.7457,0.42289,1.5373,1.10259,1.49522,0.001109,0.001109,0.001109
92,1834.6,0.97733,0.67356,1.16321,0.76634,0.62768,0.72391,0.41518,1.53006,1.18572,1.48569,0.0010991,0.0010991,0.0010991
93,1854.35,0.99409,0.70904,1.16227,0.77028,0.62094,0.73473,0.41788,1.53127,1.16503,1.47711,0.0010892,0.0010892,0.0010892
94,1874.13,0.97881,0.6966,1.16056,0.74312,0.67251,0.73807,0.40782,1.56583,1.11139,1.52229,0.0010793,0.0010793,0.0010793
95,1893.82,0.96996,0.69799,1.16739,0.72759,0.62768,0.70495,0.38412,1.60871,1.14061,1.54987,0.0010694,0.0010694,0.0010694
96,1913.51,0.98581,0.67478,1.17809,0.76356,0.63938,0.73463,0.40772,1.59597,1.12615,1.52502,0.0010595,0.0010595,0.0010595
97,1933.2,0.97728,0.68599,1.15866,0.77612,0.67641,0.75992,0.42313,1.54237,1.06774,1.49011,0.0010496,0.0010496,0.0010496
98,1953.02,0.98123,0.70553,1.17074,0.73845,0.64394,0.72965,0.40542,1.56025,1.11567,1.50706,0.0010397,0.0010397,0.0010397
99,1972.72,0.98173,0.68179,1.16768,0.76467,0.68226,0.74745,0.4243,1.52493,1.11593,1.4792,0.0010298,0.0010298,0.0010298
100,1992.51,0.96006,0.66236,1.15765,0.76819,0.66862,0.71775,0.39744,1.58575,1.1235,1.54939,0.0010199,0.0010199,0.0010199
101,2011.81,0.9727,0.66961,1.15806,0.75989,0.63938,0.71343,0.41595,1.53871,1.15656,1.48965,0.00101,0.00101,0.00101
102,2030.84,0.94907,0.65356,1.15684,0.75163,0.65107,0.71831,0.40738,1.57892,1.12281,1.52572,0.0010001,0.0010001,0.0010001
103,2049.8,0.97104,0.69071,1.14937,0.77809,0.62883,0.72422,0.40695,1.55921,1.13196,1.50655,0.0009902,0.0009902,0.0009902
104,2068.81,0.98503,0.68038,1.16665,0.74926,0.65692,0.72357,0.40345,1.61481,1.1491,1.57521,0.0009803,0.0009803,0.0009803
105,2087.79,0.9488,0.66356,1.15638,0.77181,0.63295,0.72019,0.40541,1.5882,1.15587,1.56029,0.0009704,0.0009704,0.0009704
106,2106.8,0.95045,0.66867,1.15844,0.75546,0.65037,0.7247,0.41394,1.53512,1.14096,1.52935,0.0009605,0.0009605,0.0009605
107,2125.8,0.95776,0.64471,1.14739,0.76259,0.62768,0.70742,0.40885,1.56919,1.12908,1.54937,0.0009506,0.0009506,0.0009506
108,2144.83,0.93802,0.66428,1.15333,0.75042,0.64717,0.73763,0.41905,1.5295,1.12282,1.47787,0.0009407,0.0009407,0.0009407
109,2163.74,0.93534,0.64037,1.13816,0.74929,0.62768,0.7165,0.39937,1.6062,1.11484,1.55177,0.0009308,0.0009308,0.0009308
110,2183.14,0.92493,0.63405,1.14742,0.80009,0.66082,0.74751,0.40631,1.57536,1.11733,1.54705,0.0009209,0.0009209,0.0009209
111,2202.84,0.91894,0.63745,1.13413,0.77484,0.65069,0.72927,0.40853,1.57693,1.12865,1.56225,0.000911,0.000911,0.000911
112,2222.38,0.92578,0.62452,1.13609,0.77811,0.65623,0.71901,0.40295,1.58481,1.13368,1.55039,0.0009011,0.0009011,0.0009011
113,2242.03,0.95407,0.65965,1.14392,0.7313,0.65692,0.71474,0.40379,1.57098,1.13486,1.52913,0.0008912,0.0008912,0.0008912
114,2261.82,0.92972,0.64867,1.14169,0.77606,0.65887,0.73916,0.40437,1.56292,1.12801,1.54963,0.0008813,0.0008813,0.0008813
115,2281.48,0.94392,0.64629,1.13816,0.76871,0.66082,0.73009,0.40616,1.63305,1.07813,1.58161,0.0008714,0.0008714,0.0008714
116,2301.07,0.91099,0.62781,1.12133,0.83773,0.65497,0.74746,0.42021,1.56798,1.05857,1.53108,0.0008615,0.0008615,0.0008615
117,2320.63,0.91754,0.62495,1.13398,0.76577,0.64912,0.71949,0.39535,1.61137,1.12571,1.57812,0.0008516,0.0008516,0.0008516
118,2340.34,0.92112,0.62838,1.13895,0.78462,0.63158,0.72874,0.42456,1.56495,1.06736,1.54472,0.0008417,0.0008417,0.0008417
119,2360.06,0.91125,0.6192,1.11656,0.77433,0.63353,0.71011,0.39294,1.62533,1.09324,1.62433,0.0008318,0.0008318,0.0008318
120,2379.58,0.92136,0.63409,1.13206,0.78286,0.66061,0.70969,0.39515,1.62036,1.04511,1.61226,0.0008219,0.0008219,0.0008219
121,2399.17,0.8949,0.61973,1.12103,0.80555,0.64327,0.73655,0.41621,1.58056,1.05868,1.54304,0.000812,0.000812,0.000812
122,2418.77,0.88856,0.61431,1.12149,0.7212,0.65887,0.71108,0.4035,1.57128,1.12061,1.52121,0.0008021,0.0008021,0.0008021
123,2438.46,0.90283,0.61185,1.11759,0.79735,0.64522,0.73309,0.41191,1.578,1.12364,1.56451,0.0007922,0.0007922,0.0007922
124,2458.05,0.91682,0.61185,1.11721,0.79155,0.62179,0.72557,0.40538,1.57596,1.13057,1.53539,0.0007823,0.0007823,0.0007823
125,2477.65,0.89781,0.61884,1.11955,0.74688,0.64912,0.71447,0.40954,1.59543,1.10742,1.55487,0.0007724,0.0007724,0.0007724
126,2497.28,0.89932,0.61447,1.11477,0.75093,0.66082,0.71574,0.40994,1.55048,1.12488,1.52731,0.0007625,0.0007625,0.0007625
127,2516.79,0.91228,0.62062,1.13774,0.77,0.65497,0.73922,0.41785,1.55475,1.1011,1.49744,0.0007526,0.0007526,0.0007526
128,2536.42,0.87405,0.58763,1.11102,0.77884,0.65497,0.74675,0.42176,1.56052,1.07058,1.54482,0.0007427,0.0007427,0.0007427
129,2556.03,0.89712,0.62063,1.12593,0.81426,0.62383,0.72138,0.41075,1.57608,1.14142,1.53841,0.0007328,0.0007328,0.0007328
130,2575.56,0.8514,0.577,1.10481,0.79628,0.62963,0.73097,0.40877,1.58461,1.12582,1.54682,0.0007229,0.0007229,0.0007229
131,2595.52,0.8746,0.58559,1.10881,0.73544,0.63938,0.6913,0.392,1.62779,1.13369,1.58679,0.000713,0.000713,0.000713
132,2615.11,0.8921,0.59565,1.1183,0.74378,0.64912,0.71027,0.40186,1.59384,1.14175,1.55755,0.0007031,0.0007031,0.0007031
133,2634.41,0.86045,0.58846,1.09797,0.79991,0.67017,0.74795,0.43884,1.51971,1.0759,1.50446,0.0006932,0.0006932,0.0006932
134,2653.59,0.86422,0.58597,1.11007,0.76834,0.67446,0.74741,0.42063,1.54572,1.05243,1.52489,0.0006833,0.0006833,0.0006833
135,2672.75,0.87829,0.58882,1.10836,0.79581,0.66667,0.75622,0.44153,1.51876,1.03657,1.5195,0.0006734,0.0006734,0.0006734
136,2691.82,0.85945,0.59304,1.10768,0.81075,0.62963,0.73628,0.42695,1.54604,1.07018,1.53072,0.0006635,0.0006635,0.0006635
137,2710.86,0.88176,0.59571,1.10725,0.76866,0.65497,0.74192,0.41874,1.55964,1.06504,1.53413,0.0006536,0.0006536,0.0006536
138,2729.97,0.8766,0.57897,1.10702,0.78739,0.65887,0.74179,0.42059,1.57901,1.08311,1.54016,0.0006437,0.0006437,0.0006437
139,2749.02,0.8586,0.5839,1.10544,0.76011,0.63001,0.71805,0.40926,1.54029,1.12989,1.48173,0.0006338,0.0006338,0.0006338
140,2768.1,0.86936,0.58397,1.1005,0.80301,0.65157,0.74066,0.4227,1.54181,1.07996,1.5031,0.0006239,0.0006239,0.0006239
141,2787.1,0.8476,0.56289,1.08285,0.71584,0.66294,0.71853,0.41368,1.55308,1.11223,1.5304,0.000614,0.000614,0.000614
142,2806.24,0.85845,0.57568,1.0946,0.78794,0.6736,0.75486,0.42737,1.55555,1.05448,1.54915,0.0006041,0.0006041,0.0006041
143,2825.33,0.86328,0.56792,1.10133,0.77529,0.65107,0.73854,0.41056,1.60792,1.08631,1.6049,0.0005942,0.0005942,0.0005942
144,2844.45,0.85605,0.57705,1.09006,0.80769,0.60586,0.70669,0.38913,1.6089,1.18703,1.59314,0.0005843,0.0005843,0.0005843
145,2863.46,0.85041,0.56494,1.09071,0.77412,0.66277,0.73978,0.41983,1.56887,1.10963,1.58239,0.0005744,0.0005744,0.0005744
146,2882.61,0.85513,0.57318,1.09838,0.81598,0.63101,0.74801,0.41729,1.59093,1.07383,1.59338,0.0005645,0.0005645,0.0005645
147,2901.62,0.85239,0.56374,1.09272,0.78993,0.64505,0.72556,0.41181,1.58482,1.12507,1.56934,0.0005546,0.0005546,0.0005546
148,2920.55,0.86865,0.57711,1.10253,0.79391,0.66081,0.74966,0.42313,1.55354,1.05425,1.54905,0.0005447,0.0005447,0.0005447
149,2939.64,0.85478,0.56368,1.08703,0.82067,0.66013,0.75804,0.44414,1.51664,1.07933,1.51354,0.0005348,0.0005348,0.0005348
150,2958.81,0.84868,0.56658,1.08552,0.77514,0.65182,0.73088,0.4101,1.60004,1.13809,1.55535,0.0005249,0.0005249,0.0005249
151,2977.88,0.82527,0.53875,1.08154,0.7617,0.65423,0.73426,0.42349,1.55243,1.09845,1.54918,0.000515,0.000515,0.000515
152,2996.9,0.82827,0.55749,1.07629,0.76409,0.68821,0.74663,0.40989,1.62328,1.08463,1.58268,0.0005051,0.0005051,0.0005051
153,3015.94,0.86823,0.56745,1.09815,0.81902,0.65887,0.75853,0.43097,1.57228,1.04965,1.55725,0.0004952,0.0004952,0.0004952
154,3035.05,0.86306,0.55786,1.0935,0.77188,0.66862,0.74552,0.41955,1.58009,1.05056,1.55178,0.0004853,0.0004853,0.0004853
155,3054.11,0.8341,0.55972,1.08315,0.78611,0.65497,0.73778,0.41995,1.56403,1.11205,1.53593,0.0004754,0.0004754,0.0004754
156,3073.17,0.82161,0.52159,1.07153,0.80533,0.65692,0.73626,0.41668,1.57585,1.10582,1.57161,0.0004655,0.0004655,0.0004655
157,3092.24,0.826,0.54099,1.07409,0.77779,0.63548,0.70576,0.4053,1.6156,1.10146,1.60261,0.0004556,0.0004556,0.0004556
158,3111.31,0.82187,0.53237,1.06312,0.79973,0.64522,0.736,0.42178,1.56248,1.06766,1.55158,0.0004457,0.0004457,0.0004457
159,3130.32,0.81192,0.52538,1.07507,0.7602,0.68811,0.74334,0.42618,1.55039,1.09265,1.54873,0.0004358,0.0004358,0.0004358
160,3149.43,0.84671,0.55075,1.08529,0.76628,0.65107,0.72671,0.41226,1.58842,1.08206,1.57633,0.0004259,0.0004259,0.0004259
161,3168.55,0.80284,0.52368,1.07167,0.82273,0.64232,0.74014,0.42403,1.55835,1.0678,1.53185,0.000416,0.000416,0.000416
162,3187.62,0.81839,0.51944,1.06202,0.7831,0.68226,0.7586,0.43555,1.56111,1.06292,1.54678,0.0004061,0.0004061,0.0004061
163,3206.69,0.8047,0.53055,1.07464,0.77727,0.68024,0.7369,0.43001,1.55633,1.06346,1.55298,0.0003962,0.0003962,0.0003962
164,3225.74,0.80309,0.51524,1.06785,0.76479,0.65919,0.72749,0.42465,1.56549,1.06365,1.56602,0.0003863,0.0003863,0.0003863
165,3244.84,0.84013,0.55131,1.08973,0.78324,0.66082,0.74093,0.42656,1.55699,1.05319,1.5444,0.0003764,0.0003764,0.0003764
166,3263.88,0.81147,0.52658,1.06698,0.79014,0.65318,0.73311,0.41327,1.58539,1.08504,1.55495,0.0003665,0.0003665,0.0003665
167,3282.91,0.80567,0.53092,1.07399,0.78181,0.65887,0.74148,0.4162,1.57082,1.07383,1.56752,0.0003566,0.0003566,0.0003566
168,3301.92,0.79931,0.51578,1.07246,0.82725,0.64327,0.74118,0.42891,1.55118,1.07747,1.56451,0.0003467,0.0003467,0.0003467
169,3321.02,0.80901,0.52484,1.0699,0.80422,0.64861,0.74586,0.40972,1.58303,1.07307,1.57814,0.0003368,0.0003368,0.0003368
170,3340.04,0.81307,0.5189,1.0641,0.776,0.66853,0.73687,0.41972,1.57794,1.06627,1.58509,0.0003269,0.0003269,0.0003269
171,3359.1,0.7669,0.50168,1.04794,0.8135,0.63353,0.73405,0.41667,1.58869,1.10183,1.60829,0.000317,0.000317,0.000317
172,3378.13,0.80614,0.52104,1.06883,0.76685,0.68421,0.74038,0.42112,1.5701,1.10265,1.59536,0.0003071,0.0003071,0.0003071
173,3397.14,0.79567,0.51836,1.05732,0.79863,0.67641,0.7407,0.41989,1.57262,1.0713,1.57792,0.0002972,0.0002972,0.0002972
174,3416.21,0.77832,0.50331,1.05505,0.79056,0.66667,0.7319,0.41305,1.59619,1.0903,1.59884,0.0002873,0.0002873,0.0002873
175,3435.18,0.78207,0.50634,1.0564,0.7986,0.67641,0.75387,0.42997,1.56957,1.03006,1.58835,0.0002774,0.0002774,0.0002774
176,3454.38,0.78903,0.50914,1.06167,0.77466,0.67446,0.74401,0.41684,1.59738,1.04934,1.59697,0.0002675,0.0002675,0.0002675
177,3473.39,0.78594,0.50379,1.05254,0.78582,0.66082,0.72271,0.40607,1.58754,1.10746,1.57491,0.0002576,0.0002576,0.0002576
178,3492.44,0.79261,0.50162,1.06635,0.80322,0.65245,0.73217,0.41618,1.563,1.07762,1.56059,0.0002477,0.0002477,0.0002477
179,3511.51,0.74912,0.47827,1.04435,0.78462,0.66753,0.74189,0.42761,1.55008,1.0407,1.57021,0.0002378,0.0002378,0.0002378
180,3530.62,0.79343,0.51796,1.05883,0.80747,0.63353,0.73202,0.41302,1.58887,1.07135,1.59419,0.0002279,0.0002279,0.0002279
181,3549.68,0.78252,0.5059,1.05077,0.7939,0.65302,0.73092,0.41444,1.59703,1.08221,1.6203,0.000218,0.000218,0.000218
182,3568.76,0.76444,0.48381,1.05413,0.79888,0.64268,0.72843,0.41127,1.60048,1.08464,1.63066,0.0002081,0.0002081,0.0002081
183,3587.75,0.7622,0.47904,1.05335,0.81852,0.64327,0.74435,0.42404,1.57239,1.08271,1.57831,0.0001982,0.0001982,0.0001982
184,3606.81,0.74266,0.48269,1.04181,0.78673,0.66155,0.73756,0.42217,1.56625,1.08293,1.56668,0.0001883,0.0001883,0.0001883
185,3625.84,0.76535,0.49441,1.05208,0.81395,0.65666,0.74637,0.4227,1.56094,1.08797,1.56282,0.0001784,0.0001784,0.0001784
