epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6741.92,1.16576,0.93162,1.30284,0.63691,0.63602,0.67049,0.35148,1.62503,1.30174,1.60141,0.0015941,0.0015941,0.0015941
43,6902.54,1.17213,0.94463,1.29002,0.68953,0.60234,0.65283,0.35593,1.63165,1.36065,1.54939,0.0015842,0.0015842,0.0015842
44,7064.1,1.13972,0.92263,1.2727,0.75204,0.64442,0.71492,0.38799,1.58078,1.27298,1.53722,0.0015743,0.0015743,0.0015743
45,7225.18,1.15168,0.93678,1.27842,0.75537,0.59259,0.68687,0.36344,1.64359,1.31921,1.57135,0.0015644,0.0015644,0.0015644
46,7387.75,1.12954,0.92064,1.26909,0.64511,0.65692,0.68378,0.37764,1.58622,1.24329,1.53783,0.0015545,0.0015545,0.0015545
47,7550.38,1.13526,0.88722,1.26812,0.6695,0.63158,0.6954,0.39079,1.5619,1.28557,1.51109,0.0015446,0.0015446,0.0015446
48,7713.84,1.1346,0.9048,1.26126,0.72176,0.58869,0.68274,0.35331,1.63128,1.39503,1.56278,0.0015347,0.0015347,0.0015347
49,7876.42,1.1578,0.91378,1.26428,0.75872,0.55556,0.67618,0.34192,1.66159,1.39038,1.55349,0.0015248,0.0015248,0.0015248
50,8039.1,1.12086,0.9109,1.26241,0.73106,0.63158,0.68573,0.37018,1.67974,1.29328,1.56928,0.0015149,0.0015149,0.0015149
51,8201.47,1.10979,0.86505,1.25504,0.74945,0.59474,0.69579,0.38467,1.56957,1.22267,1.50918,0.001505,0.001505,0.001505
52,8364.06,1.15482,0.8734,1.26686,0.67874,0.68367,0.71599,0.39602,1.57781,1.21444,1.52908,0.0014951,0.0014951,0.0014951
53,8526.36,1.11552,0.8732,1.26354,0.65031,0.61988,0.66134,0.36855,1.56991,1.30575,1.50385,0.0014852,0.0014852,0.0014852
